emoteID,emoteName
1,GachiPls
2,TrollDespair
3,TriSad
4,sumSmash
5,docSpin
6,DOCING
7,ppPoof
8,docPls
9,DANKIES
10,SALAMI
11,spilledGlue
12,OMEGALULiguess
13,Drake
14,WatchingStream
15,Jammies
16,catKISS
17,pepeMeltdown
18,muted
19,peepoSleep
20,nyanPls
21,donowall
22,modCheck
23,WTFF
24,Tssk
25,GAMING
26,FishJam
27,cJerk
28,ppBounce
29,GIGACHAD
30,PauseChamp
31,BOOBA
32,clubDance
33,COCKA
34,Awkward
35,Prayge
36,peepoClap
37,PETTHEMODS
38,Amongus
39,WICKED
40,peepoHey
41,Modge
42,Offline
43,peepoTalk
44,cReady
45,BANGER
46,Clueless
47,PartyKirby
48,monkaBAN
49,OcarinaTime
50,GoodTake
51,catDisco
52,Cope
53,WhenYourBallsAreKindaSore
54,SCAMMED
55,pepeFlushed
56,widepeepoPussy
57,GroundPound
58,RIPBOZO
59,Nerdge
60,catSmash
61,ICANT
62,peepoShy
63,AlienPls
64,Sleepge
65,HACKERMANS
66,BRUHWHAT
67,NODDERS
68,junoHyperDance
69,AAAA
70,BIGBULBA
71,AstolfoBounce
72,POGGIES
73,Wokege
74,peepoJuice
75,OFFLINECHAT
76,Aware
77,forsenanimegirl
78,monkaThink
79,Swag
80,clintLeave
81,clintArrive
82,THIS
83,CatChest
84,Nerdge
85,WHATTHEFUCKDIDYOUJUSTSAYTOME
86,NOIDONTTHINKSO
87,sugaFlick
88,POGPOLE
89,widekirbyJam
90,LinkClapping
91,clintWHAT
92,CLINTING
93,morbPls
94,clintJam
95,peepoWatchingMOBIUS
96,ClintGaming
97,MAKEITRAIN
98,DONTBELIEVEHISLIES
99,MORBIN
100,clintNoted
101,clintWave